pollutant,horizon,variant,r2,rmse,delta_r2,delta_rmse,n_features
PM25,1,drop_coupled_physics,0.9620094099877865,21.740680158183608,-0.001353874761647278,0.3909017292856305,79
PM25,1,drop_cross_sectional,0.9552594051475933,23.593153032491216,-0.008103879601840447,2.2433746035932387,83
PM25,1,drop_target_time,0.9624415515054119,21.61667681100916,-0.0009217332440218939,0.266898382111183,76
PM25,1,drop_stability_candidate,0.9619923664516404,21.745556319874392,-0.0013709182977933443,0.39577789097641514,85
PM25,1,drop_clim_y,0.9626593698516285,21.553903246862625,-0.0007039148978053023,0.20412481796464732,85
PM25,1,FULL,0.9633632847494338,21.349778428897977,0.0,0.0,86
PM25,24,drop_coupled_physics,0.7422255200797179,56.696791106460914,-0.006968685150641196,0.7716223572241461,79
PM25,24,drop_cross_sectional,0.7424517555240567,56.671905711813636,-0.006742449706302334,0.7467369625768683,83
PM25,24,drop_target_time,0.7503353144034144,55.797800327371434,0.0011411091730553213,-0.12736842186533437,76
PM25,24,drop_stability_candidate,0.7467894501063257,56.192637658453926,-0.0024047551240333753,0.2674689092171576,85
PM25,24,drop_clim_y,0.7465115189036131,56.2234685304672,-0.0026826863267459533,0.2982997812304333,85
PM25,24,FULL,0.7491942052303591,55.92516874923677,0.0,0.0,86
PM25,72,drop_coupled_physics,0.6218195546046877,68.82404462819653,-0.020826112869118396,1.9218779564633053,79
PM25,72,drop_cross_sectional,0.6309685483146075,67.98644738693362,-0.011677119159198668,1.0842807152003928,83
PM25,72,drop_target_time,0.6424672302476354,66.91886766862267,-0.00017843722617072455,0.01670099688944049,76
PM25,72,drop_stability_candidate,0.6423785398144206,66.92716718106601,-0.0002671276593855243,0.025000509332784304,85
PM25,72,drop_clim_y,0.6432707485700789,66.8436287174256,0.0006250810962727948,-0.05853795430762432,85
PM25,72,FULL,0.6426456674738061,66.90216667173323,0.0,0.0,86
O3,1,drop_coupled_physics,0.9257567387703804,9.792849849310116,0.0056696965156775025,-0.36704417474150297,79
O3,1,drop_cross_sectional,0.9264975922300626,9.743867244501212,0.006410549975359614,-0.4160267795504069,83
O3,1,drop_target_time,0.9248436396917258,9.852885712782548,0.004756597437022836,-0.3070083112690707,76
O3,1,drop_stability_candidate,0.9244065234309236,9.881496813828582,0.0043194811762206076,-0.2783972102230372,85
O3,1,drop_clim_y,0.9255932486845558,9.803626271312481,0.005506206429852889,-0.3562677527391376,85
O3,1,FULL,0.920087042254703,10.159894024051619,0.0,0.0,86
O3,24,drop_coupled_physics,0.7627903278555475,17.529294426587892,0.0070635658228785925,-0.25907677599758827,79
O3,24,drop_cross_sectional,0.76278665777954,17.52943003150122,0.007059895746871159,-0.25894117108425974,83
O3,24,drop_target_time,0.7666022150427992,17.38787878772182,0.010875453010130376,-0.4004924148636597,76
O3,24,drop_stability_candidate,0.7624668488452413,17.541242562880054,0.006740086812572432,-0.24712863970542642,85
O3,24,drop_clim_y,0.7685287776750402,17.31596668139414,0.012802015642371378,-0.4724045211913399,85
O3,24,FULL,0.7557267620326689,17.78837120258548,0.0,0.0,86
O3,72,drop_coupled_physics,0.6462733880691338,21.48646774263754,-0.015782375426525386,0.4848049714752669,79
O3,72,drop_cross_sectional,0.6645395150101677,20.924343639920508,0.0024837515145085254,-0.07731913124176515,83
O3,72,drop_target_time,0.6648707888956092,20.91400948572255,0.002815025399950044,-0.08765328543972473,76
O3,72,drop_stability_candidate,0.6601646554701677,21.060342578671115,-0.001891108025491528,0.05867980750884172,85
O3,72,drop_clim_y,0.6701687110526451,20.748040379359303,0.008112947556985883,-0.2536223918029705,85
O3,72,FULL,0.6620557634956592,21.001662771162273,0.0,0.0,86
